"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jan 22","104,90","101,47","105,79","97,10","9,18M","4,07%"
"Dez 21","100,80","99,26","105,41","96,91","163,50M","2,49%"
"Nov 21","98,35","100,76","104,50","96,32","206,35M","-1,33%"
"Out 21","99,68","107,01","110,53","98,88","226,84M","-6,39%"
"Set 21","106,49","114,15","115,45","103,44","209,40M","-6,65%"
"Ago 21","114,08","118,88","119,80","110,00","163,70M","-2,59%"
"Jul 21","117,11","122,12","124,71","117,10","110,87M","-3,86%"
"Jun 21","121,81","122,49","126,22","121,33","112,33M","0,46%"
"Mai 21","121,25","115,30","121,25","113,16","127,04M","5,99%"
"Abr 21","114,40","112,33","117,35","110,56","143,67M","2,12%"
"Mar 21","112,02","107,41","112,83","103,16","242,30M","6,09%"
"Fev 21","105,59","112,65","116,59","105,59","167,95M","-4,50%"
"Jan 21","110,56","115,60","120,66","110,53","164,31M","-3,57%"
"Dez 20","114,65","106,48","115,70","106,15","158,46M","9,19%"
"Nov 20","105,00","92,09","107,41","91,47","221,02M","15,82%"
"Out 20","90,66","91,34","98,39","89,91","227,67M","-0,43%"
"Set 20","91,05","96,58","99,39","89,90","215,21M","-4,86%"
"Ago 20","95,70","99,96","100,70","94,82","206,22M","-3,62%"
"Jul 20","99,29","91,88","101,77","91,88","180,96M","8,37%"
"Jun 20","91,62","83,60","94,12","83,48","241,78M","8,88%"
"Mai 20","84,15","75,17","85,00","72,85","256,51M","8,99%"
"Abr 20","77,21","67,77","80,55","65,30","303,22M","11,33%"
"Mar 20","69,35","100,85","105,27","59,10","479,50M","-31,06%"
"Fev 20","100,60","109,70","113,40","96,26","136,79M","-7,62%"
"Jan 20","108,90","112,45","115,26","108,66","124,95M","-2,09%"
"Dez 19","111,23","104,60","113,84","104,10","90,32M","6,59%"
"Nov 19","104,35","103,85","105,63","101,31","88,92M","1,08%"
"Out 19","103,23","101,00","104,42","96,10","109,17M","2,20%"
"Set 19","101,01","97,52","102,12","95,67","78,66M","3,48%"
"Ago 19","97,61","98,58","101,05","92,26","132,34M","-0,38%"
"Jul 19","97,98","98,60","102,80","96,23","84,83M","0,90%"
"Jun 19","97,11","94,01","98,89","92,20","78,43M","3,76%"
"Mai 19","93,59","92,19","94,45","86,12","111,63M","0,76%"
"Abr 19","92,88","92,92","94,15","88,94","82,09M","1,17%"
"Mar 19","91,81","92,40","96,86","88,10","95,80M","-0,04%"
"Fev 19","91,85","94,10","95,10","90,08","93,81M","-2,29%"
"Jan 19","94,00","84,60","94,95","84,35","87,57M","11,11%"
"Dez 18","84,60","88,10","88,15","80,90","73,53M","-2,05%"
"Nov 18","86,37","84,51","87,04","81,02","86,49M","2,72%"
"Out 18","84,08","76,75","84,93","75,33","122,54M","9,75%"
"Set 18","76,61","73,66","77,29","71,63","51,08M","3,36%"
"Ago 18","74,12","76,01","78,94","72,08","80,32M","-3,05%"
"Jul 18","76,45","69,59","77,67","69,39","54,13M","8,67%"
"Jun 18","70,35","74,75","76,16","66,64","76,56M","-5,02%"
"Mai 18","74,07","82,43","83,67","72,69","73,65M","-10,95%"
"Abr 18","83,18","82,30","84,15","79,94","47,50M","0,91%"
"Mar 18","82,43","82,50","84,49","79,50","54,15M","-0,08%"
"Fev 18","82,50","82,02","85,32","76,96","54,58M","0,61%"
"Jan 18","82,00","74,00","83,22","74,00","54,43M","11,08%"
"Dez 17","73,82","68,76","73,83","68,76","59,65M","6,37%"
"Nov 17","69,40","72,41","72,70","68,46","57,58M","-3,30%"
"Out 17","71,77","71,60","75,41","71,33","49,90M","0,27%"
"Set 17","71,58","68,98","73,87","68,98","49,23M","4,63%"
"Ago 17","68,41","64,02","69,07","63,80","75,99M","7,36%"
"Jul 17","63,72","61,29","64,72","59,98","40,60M","4,58%"
"Jun 17","60,93","60,90","61,55","58,57","43,63M","0,61%"
"Mai 17","60,56","63,46","66,54","58,00","92,41M","-4,16%"
